name,date,notes,year,split_index,race_train_stall,details,track,date_dt,fy_TB,fy_QH,fy_pq,State,Types,TB
Bullout,Feb 5,Laurel T – “foot turned in wrong direction: comminuted fracture” (two years old),2023,"(7, 8)",T,“foot turned in wrong direction: comminuted fracture” (two years old),Laurel,2023-02-05,2020.0,,2020.0,Maryland,T,T
Master Ruler,Feb 5,Rillito R (euth Feb 12) – “severe pleuropneumonia with abscesses”,2023,"(8, 9)",R,(euth Feb 12)  “severe pleuropneumonia with abscesses”,Rillito,2023-02-05,2015.0,2015.0,2015.0,Arizona,TQ,T and Q
Little Rikki,Feb 6,Mahoning T – “rider heard loud noise and horse fell – shoulder [fracture]”,2023,"(9, 10)",T,“rider heard loud noise and horse fell  shoulder [fracture]”,Mahoning,2023-02-06,,,2020.0,Ohio,T,T
Caerulean,Feb 8,Santa Anita T – “severe exercise-associated pulmonary hemorrhage”,2023,"(12, 13)",T,“severe exercise-associated pulmonary hemorrhage”,Santa Anita,2023-02-08,2017.0,,2017.0,California,T,T
Celtic Cousen,Feb 10,Laurel T – “jockey heard a pop: [multiple] fractures”,2023,"(7, 8)",T,“jockey heard a pop: [multiple] fractures”,Laurel,2023-02-10,2019.0,,2019.0,Maryland,T,T
The Trend Continue,Feb 10,Turf T – “trauma to head/brain” (three years old),2023,"(5, 6)",T,“trauma to head/brain” (three years old),Turf,2023-02-10,,,2019.0,Arizona,TQ,T
Caramelito,Feb 10,"Turfway R – “severe, extensive tearing and rupture of tendon”",2023,"(8, 9)",R,"“severe, extensive tearing and rupture of tendon”",Turfway,2023-02-10,2017.0,,2017.0,Kentucky,T,T
Merci Road,Feb 11,Charles Town R – “fell with a fatal injury”,2023,"(13, 14)",R,“fell with a fatal injury”,Charles Town,2023-02-11,2018.0,,2018.0,West Virginia,T,T
Merit Song,Feb 11,Santa Anita R – “catastrophic fetlock breakdown” (two years old),2023,"(12, 13)",R,“catastrophic fetlock breakdown” (two years old),Santa Anita,2023-02-11,2020.0,,2020.0,California,T,T
Decorated My Life,Feb 11,Santa Anita R – “[multiple] fractures and ruptures”,2023,"(12, 13)",R,“[multiple] fractures and ruptures”,Santa Anita,2023-02-11,,,2020.0,California,T,T
Flying to the Top,Feb 11,"Sunland R – “fell, unable to rise”",2023,"(8, 9)",R,"“fell, unable to rise”",Sunland,2023-02-11,,2020.0,,New Mexico,TQ,Q
Pappy Wolfe,Feb 13,Oaklawn T – “[multiple] fractures” (two years old),2023,"(8, 9)",T,“[multiple] fractures” (two years old),Oaklawn,2023-02-13,2020.0,,2020.0,Arkansas,T,T
He's a Candy Man,Feb 13,Turf R (euth Feb 20) – “[multiple] fractures”,2023,"(5, 6)",R,(euth Feb 20)  “[multiple] fractures”,Turf,2023-02-13,2020.0,,2020.0,Arizona,TQ,T
See What (sic),Feb 14,Sunland T – “complete compound fracture”,2023,"(8, 9)",T,“complete compound fracture”,Sunland,2023-02-14,,,,New Mexico,TQ,unclear
Music City Dancer,Feb 15,Mahoning T – “displaced knee fracture during morning work”,2023,"(9, 10)",T,“displaced knee fracture during morning work”,Mahoning,2023-02-15,2019.0,,2019.0,Ohio,T,T
Steele Horizon,Feb 16,Sam Houston T – “[multiple] fractures”,2023,"(12, 13)",T,“[multiple] fractures”,Sam Houston,2023-02-16,,,,Texas,TQ,T
Leroy Jenkins,Feb 17,Fair Grounds R – “[multiple] fractures”,2023,"(13, 14)",R,“[multiple] fractures”,Fair Grounds,2023-02-17,2018.0,,2018.0,Louisiana,TQ,T
My Last Bullet,Feb 17,Sunland R – “compound fractures [both front legs]”,2023,"(8, 9)",R,“compound fractures [both front legs]”,Sunland,2023-02-17,2020.0,2017.0,2020.0,New Mexico,TQ,Q
Petit Verdot,Feb 17,Turfway R – “[multiple] comminuted fractures of scapula”,2023,"(8, 9)",R,“[multiple] comminuted fractures of scapula”,Turfway,2023-02-17,2018.0,,2018.0,Kentucky,T,T
She's a Black Belt,Feb 18,"Aqueduct R – “injured foreleg, vanned off, euthanized”",2023,"(9, 10)",R,"“injured foreleg, vanned off, euthanized”",Aqueduct,2023-02-18,2016.0,,2016.0,New York,T,T
Hunter's Drive,Feb 18,Fair Grounds R – “[multiple] open fractures”,2023,"(13, 14)",R,“[multiple] open fractures”,Fair Grounds,2023-02-18,2020.0,,2020.0,Louisiana,TQ,T
A Regal Cowgirl,Feb 18,Sunland R – “compound fetlock fracture”,2023,"(8, 9)",R,“compound fetlock fracture”,Sunland,2023-02-18,,2020.0,,New Mexico,TQ,Q
Bones and Roses,Feb 19,"Oaklawn T (euth Feb 23) – “pelvic injury, soft tissue hemorrhages”",2023,"(8, 9)",T,"(euth Feb 23)  “pelvic injury, soft tissue hemorrhages”",Oaklawn,2023-02-19,2017.0,,2017.0,Arkansas,T,T
Cash Rocket,Feb 19,"Oaklawn R – “[multiple] fractures, flexor tendon completely ruptured”",2023,"(8, 9)",R,"“[multiple] fractures, flexor tendon completely ruptured”",Oaklawn,2023-02-19,2018.0,,2018.0,Arkansas,T,T
Jelly Nougat,Feb 20,Aqueduct R – “suffered an injury…euthanized on the track”,2023,"(9, 10)",R,“suffered an injury…euthanized on the track”,Aqueduct,2023-02-20,2019.0,,2019.0,New York,T,T
Big Talker,Feb 20,"Santa Anita R – “pulled up, collapsed, epistaxis, died spontaneously”",2023,"(12, 13)",R,"“pulled up, collapsed, epistaxis, died spontaneously”",Santa Anita,2023-02-20,2018.0,,2018.0,California,T,T
Crafty Jack,Feb 21,Parx R – “suffered catastrophic injury…euthanized”,2023,"(5, 6)",R,“suffered catastrophic injury…euthanized”,Parx,2023-02-21,2015.0,,2015.0,Pennsylvania,T,T
Friendly Fella,Feb 22,Charles Town R – “pulled up with fatal injury”,2023,"(13, 14)",R,“pulled up with fatal injury”,Charles Town,2023-02-22,2016.0,,2016.0,West Virginia,T,T
Teche Solution,Feb 23,"Delta R – “open, comminuted fracture” (two years old)",2023,"(6, 7)",R,"“open, comminuted fracture” (two years old)",Delta,2023-02-23,2020.0,,2020.0,Louisiana,TQ,T
Auspicious Lad,Feb 23,Laurel T – “suddenly collapsed and died on the track” (three years old),2023,"(7, 8)",T,“suddenly collapsed and died on the track” (three years old),Laurel,2023-02-23,2019.0,,2019.0,Maryland,T,T
Spinish,Feb 24,Charles Town T – “condylar fracture”,2023,"(13, 14)",T,“condylar fracture”,Charles Town,2023-02-24,2018.0,,2018.0,West Virginia,T,T
King Tuff,Feb 24,Fair Grounds R – “went wrong”,2023,"(13, 14)",R,“went wrong”,Fair Grounds,2023-02-24,2019.0,,2019.0,Louisiana,TQ,T
Cinnamack,Feb 25,Freehold R – “limb attached only by the skin and tendons”,2023,"(9, 10)",R,“limb attached only by the skin and tendons”,Freehold,2023-02-25,,,,New Jersey,H,H
Black Sambuca,Feb 25,Turf T – “fractured cannon” (three years old),2023,"(5, 6)",T,“fractured cannon” (three years old),Turf,2023-02-25,,,,Arizona,TQ,T
Amman,Feb 26,"Aqueduct R – “sustained injury to RF, euthanized”",2023,"(9, 10)",R,"“sustained injury to RF, euthanized”",Aqueduct,2023-02-26,2020.0,,2020.0,New York,T,T
Iron Soul,Feb 26,Rillito R – “fell: fractured spine/pelvis”,2023,"(8, 9)",R,“fell: fractured spine/pelvis”,Rillito,2023-02-26,,2019.0,,Arizona,TQ,Q
Juana Gallo,Feb 26,"Turf R – “[multiple] fractures: cannon, sesamoids, P1, P2”",2023,"(5, 6)",R,"“[multiple] fractures: cannon, sesamoids, P1, P2”",Turf,2023-02-26,2020.0,,2020.0,Arizona,TQ,T
Rap Star,Feb 27,"Mahoning R – “suffered catastrophic injury, euthanized”",2023,"(9, 10)",R,"“suffered catastrophic injury, euthanized”",Mahoning,2023-02-27,2019.0,,2019.0,Ohio,T,T
Sporty Sense (sic),Feb 28,"Oaklawn T – “[multiple] complete, comminuted fractures”",2023,"(8, 9)",T,"“[multiple] complete, comminuted fractures”",Oaklawn,2023-02-28,,,,Arkansas,T,T
Afternoon Anejo,Mar 1,Fair Grounds R – “LF fracture”,2023,"(13, 14)",R,“LF fracture”,Fair Grounds,2023-03-01,2019.0,,2019.0,Louisiana,TQ,T
Mystical Image,Mar 1,Turf R – “fell: comminuted scapular fracture involving neck”,2023,"(5, 6)",R,“fell: comminuted scapular fracture involving neck”,Turf,2023-03-01,2014.0,,2014.0,Arizona,TQ,T
Starzan,Mar 1,"Turf R – “fell over [above], landing on back: [multiple] vertebral fractures”",2023,"(5, 6)",R,"“fell over [above], landing on back: [multiple] vertebral fractures”",Turf,2023-03-01,2017.0,,2017.0,Arizona,TQ,T
Bear Claw,Mar 2,"Sunland T – “cardiac event, [sudden death]” (three years old)",2023,"(8, 9)",T,"“cardiac event, [sudden death]” (three years old)",Sunland,2023-03-02,2019.0,,2019.0,New Mexico,TQ,T
Ultimate Diva,Mar 3,Golden Gate R – “injured during the gallop out”,2023,"(12, 13)",R,“injured during the gallop out”,Golden Gate,2023-03-03,2020.0,,2020.0,California,T,T
Mp Flyingwrightbayou,Mar 3,"Louisiana R – “open, comminuted fracture”",2023,"(10, 11)",R,"“open, comminuted fracture”",Louisiana,2023-03-03,,2021.0,,Louisiana,TQ,Q
All the Best,Mar 4,"Mahoning T – “hit pole, fractured stifle”",2023,"(9, 10)",T,"“hit pole, fractured stifle”",Mahoning,2023-03-04,2016.0,,2016.0,Ohio,T,T
Turfy,Mar 4,Oaklawn T – “comminuted humerus fracture”,2023,"(8, 9)",T,“comminuted humerus fracture”,Oaklawn,2023-03-04,2018.0,,2018.0,Arkansas,T,T
Esser Fund,Mar 4,"Turfway T – “pulled up, became ataxic, collapsed, and expired”",2023,"(8, 9)",T,"“pulled up, became ataxic, collapsed, and expired”",Turfway,2023-03-04,2020.0,,2020.0,Kentucky,T,T
Utterly Courageous,Mar 5,"Laurel T (euth Mar 29) – “comminuted, displaced fracture; laminitis”",2023,"(7, 8)",T,"(euth Mar 29)  “comminuted, displaced fracture; laminitis”",Laurel,2023-03-05,2018.0,,2018.0,Maryland,T,T
Whenudon't Know,Mar 5,Rillito R – “fell: fractured shoulder”,2023,"(8, 9)",R,“fell: fractured shoulder”,Rillito,2023-03-05,,,,Arizona,TQ,T
Ransier,Mar 7,Sunland T – “[multiple] fractures”,2023,"(8, 9)",T,“[multiple] fractures”,Sunland,2023-03-07,2017.0,2017.0,2017.0,New Mexico,TQ,T and Q
Lethal Pass,Mar 8,"Louisiana R – “trauma [in gate], died” (was to be her very first race)",2023,"(10, 11)",R,"“trauma [in gate], died” (was to be her very first race)",Louisiana,2023-03-08,,,,Louisiana,TQ,Q
Lady Demaree,Mar 9,"Oaklawn R – “[multiple] fractures, suspensory ligament ruptured”",2023,"(8, 9)",R,"“[multiple] fractures, suspensory ligament ruptured”",Oaklawn,2023-03-09,2019.0,,2019.0,Arkansas,T,T
Joy Enamorada,Mar 9,"Turfway R – “[multiple] comminuted fractures, severe tissue damage”",2023,"(8, 9)",R,"“[multiple] comminuted fractures, severe tissue damage”",Turfway,2023-03-09,2019.0,,2019.0,Kentucky,T,T
Sir Rex,Mar 10,"Penn R – “went bad, fell, vanned off, euthanized”",2023,"(5, 6)",R,"“went bad, fell, vanned off, euthanized”",Penn,2023-03-10,2019.0,,2019.0,Pennsylvania,T,T
Moro Dandy,Mar 10,Sam Houston R – “[multiple] fractures”,2023,"(12, 13)",R,“[multiple] fractures”,Sam Houston,2023-03-10,2019.0,,2019.0,Texas,TQ,T
Peaceful Street,Mar 11,Oaklawn R (euth Mar 14) – “comminuted fracture”,2023,"(8, 9)",R,(euth Mar 14)  “comminuted fracture”,Oaklawn,2023-03-11,2019.0,,2019.0,Arkansas,T,T
Dreamboat,Mar 11,Oaklawn R – “collapsed and died past finish line” (two years old),2023,"(8, 9)",R,“collapsed and died past finish line” (two years old),Oaklawn,2023-03-11,2020.0,,2020.0,Arkansas,T,T
Uncle Buff,Mar 12,"Sam Houston R – “[multiple] complete, displaced fractures”",2023,"(12, 13)",R,"“[multiple] complete, displaced fractures”",Sam Houston,2023-03-12,2019.0,,2019.0,Texas,TQ,T
Cailin Diana,Mar 13,Los Alamitos T – “epistaxis from both nostrils” (bled to death),2023,"(13, 14)",T,“epistaxis from both nostrils” (bled to death),Los Alamitos,2023-03-13,2019.0,,2019.0,California,TQ,T
Miss Glorious,Mar 13,Turf T – “[multiple] fractures”,2023,"(5, 6)",T,“[multiple] fractures”,Turf,2023-03-13,2018.0,,2018.0,Arizona,TQ,T
Em's Winaholic,Mar 13,Turf R – “fractured shoulder”,2023,"(5, 6)",R,“fractured shoulder”,Turf,2023-03-13,2018.0,,2018.0,Arizona,TQ,T
Shy Bella,Mar 16,Charles Town R – “fell…euthanized on the track”,2023,"(13, 14)",R,“fell…euthanized on the track”,Charles Town,2023-03-16,2019.0,,2019.0,West Virginia,T,T
Tap's Lullaby,Mar 16,Fairmount T – “acute hemorrhage in lungs”,2023,"(10, 11)",T,“acute hemorrhage in lungs”,Fairmount,2023-03-16,2017.0,,2017.0,Illinois,T,T
Bp Certified Wagon,Mar 17,"Louisiana R – “skull/spine” (two years old, very first race)",2023,"(10, 11)",R,"“skull/spine” (two years old, very first race)",Louisiana,2023-03-17,,2020.0,,Louisiana,TQ,Q
Fort Defiance,Mar 17,"Turfway R – “[multiple] fractures, [multiple] ruptures”",2023,"(8, 9)",R,"“[multiple] fractures, [multiple] ruptures”",Turfway,2023-03-17,2019.0,,2019.0,Kentucky,T,T
Chef Menteur,Mar 18,"Gulfstream R – “suffered catastrophic injury, euthanized”",2023,"(11, 12)",R,"“suffered catastrophic injury, euthanized”",Gulfstream,2023-03-18,2019.0,,2019.0,Florida,T,T
Lady Macho,Mar 18,"Laurel R – “fell: shattered pastern, profuse arterial bleeding”",2023,"(7, 8)",R,"“fell: shattered pastern, profuse arterial bleeding”",Laurel,2023-03-18,2016.0,,2016.0,Maryland,T,T
De Train,Mar 18,"Louisiana R – “open, severe disarticulation”",2023,"(10, 11)",R,"“open, severe disarticulation”",Louisiana,2023-03-18,,2021.0,,Louisiana,TQ,Q
Strikewhileurhot,Mar 18,Sam Houston T (euth Mar 19) – “[multiple] fractures” (two years old),2023,"(12, 13)",T,(euth Mar 19)  “[multiple] fractures” (two years old),Sam Houston,2023-03-18,,,2020.0,Texas,TQ,T
Beverly Vista,Mar 18,Santa Anita R – “[multiple] fractures and ruptures”,2023,"(12, 13)",R,“[multiple] fractures and ruptures”,Santa Anita,2023-03-18,2020.0,,2020.0,California,T,T
Fyne N Dyne,Mar 18,Sunland R – “fractured shoulder”,2023,"(8, 9)",R,“fractured shoulder”,Sunland,2023-03-18,,2020.0,,New Mexico,TQ,Q
Texas Red Pepper,Mar 18,Turfway T – “[broke both front legs]”,2023,"(8, 9)",T,“[broke both front legs]”,Turfway,2023-03-18,2018.0,,2018.0,Kentucky,T,T
Akuna Matata,Mar 19,"Sam Houston T – “fell, unable to stand, euthanized on track”",2023,"(12, 13)",T,"“fell, unable to stand, euthanized on track”",Sam Houston,2023-03-19,2016.0,,2016.0,Texas,TQ,T
Manuka Bobby,Mar 20,Mahoning R – “suffered catastrophic injury…euthanized”,2023,"(9, 10)",R,“suffered catastrophic injury…euthanized”,Mahoning,2023-03-20,2018.0,,2018.0,Ohio,T,T
Trophy Chaser,Mar 20,"Parx R – “injured leg during warm-up, vanned off, euthanized”",2023,"(5, 6)",R,"“injured leg during warm-up, vanned off, euthanized”",Parx,2023-03-20,2016.0,2020.0,2016.0,Pennsylvania,T,T
El Rafa Q,Mar 21,Sunland R – “fractured ankle”,2023,"(8, 9)",R,“fractured ankle”,Sunland,2023-03-21,2020.0,,2020.0,New Mexico,TQ,T
Notario,Mar 21,Turfway T – “open fetlock with disarticulation and avulsion”,2023,"(8, 9)",T,“open fetlock with disarticulation and avulsion”,Turfway,2023-03-21,2020.0,,2020.0,Kentucky,T,T
Xposed Secret,Mar 23,Charles Town R (euth Mar 24) – “condylar fracture”,2023,"(13, 14)",R,(euth Mar 24)  “condylar fracture”,Charles Town,2023-03-23,2020.0,,2020.0,West Virginia,T,T
Relenteless Grace,Mar 23,Retama T – “probable spinal fracture/dislocation” (she was just one),2023,"(7, 8)",T,“probable spinal fracture/dislocation” (she was just one),Retama,2023-03-23,,,,Texas,Q,Q
Forth,Mar 25,"Laurel R – “collapsed to the dirt, compound cannon fracture”",2023,"(7, 8)",R,"“collapsed to the dirt, compound cannon fracture”",Laurel,2023-03-25,2018.0,,2018.0,Maryland,T,T
Saltwater Gypsy,Mar 25,Oaklawn R – “collapsed and died just past the finish” (two years old),2023,"(8, 9)",R,“collapsed and died just past the finish” (two years old),Oaklawn,2023-03-25,2020.0,,2020.0,Arkansas,T,T
Stand Up Comic,Mar 25,"Parx T – “illness, died” (three years old)",2023,"(5, 6)",T,"“illness, died” (three years old)",Parx,2023-03-25,2019.0,,2019.0,Pennsylvania,T,T
Vezpa,Mar 25,"Turfway R – “fetlock open and disarticulated, ruptured ligaments, torn tendons”",2023,"(8, 9)",R,"“fetlock open and disarticulated, ruptured ligaments, torn tendons”",Turfway,2023-03-25,,,,Kentucky,T,T
Amongst Friends,Mar 26,Oaklawn T – “collapsed and died at six pole” (four years old),2023,"(8, 9)",T,“collapsed and died at six pole” (four years old),Oaklawn,2023-03-26,2018.0,,2018.0,Arkansas,T,T
Older Brother,Mar 26,Turf R – “[multiple] fractures”,2023,"(5, 6)",R,“[multiple] fractures”,Turf,2023-03-26,2015.0,2015.0,2015.0,Arizona,TQ,T and Q
Baytown Apollo,Mar 29,Keeneland T – “horse went down – severely comminuted scapula”,2023,"(10, 11)",T,“horse went down  severely comminuted scapula”,Keeneland,2023-03-29,,,2021.0,Kentucky,T,T
Nicos Clave 7,Mar 29,Turf R – “severed spine” (two years old),2023,"(5, 6)",R,“severed spine” (two years old),Turf,2023-03-29,,2020.0,,Arizona,TQ,Q
Hair of the Dog,Apr 1,Charles Town R – “fatal injury…euthanized on track”,2023,"(13, 14)",R,“fatal injury…euthanized on track”,Charles Town,2023-04-01,2017.0,,2017.0,West Virginia,T,T
Haveulostyourmind,Apr 1,"Turf T – “hemorrhage, sudden death”",2023,"(5, 6)",T,"“hemorrhage, sudden death”",Turf,2023-04-01,2017.0,,2017.0,Arizona,TQ,T
Bee Bop It,Apr 2,Charles Town T – “shoulder fracture” (being prepped for debut),2023,"(13, 14)",T,“shoulder fracture” (being prepped for debut),Charles Town,2023-04-02,,,2020.0,West Virginia,T,T
Meetmeinkingston,Apr 2,Gulfstream R – “under distress…euthanized”,2023,"(11, 12)",R,“under distress…euthanized”,Gulfstream,2023-04-02,2018.0,,2018.0,Florida,T,T
Hello Jamrock,Apr 2,"Laurel R (euth Apr 11) – “hit hind end in gate, developed laminitis”",2023,"(7, 8)",R,"(euth Apr 11)  “hit hind end in gate, developed laminitis”",Laurel,2023-04-02,2019.0,,2019.0,Maryland,T,T
Autism Ability,Apr 2,"Los Alamitos R – “fell in turn, bleeding from nose, died immediately”",2023,"(13, 14)",R,"“fell in turn, bleeding from nose, died immediately”",Los Alamitos,2023-04-02,2018.0,,2018.0,California,TQ,T
W F Iron Maiden,Apr 2,Sunland R – “fractured ankle”,2023,"(8, 9)",R,“fractured ankle”,Sunland,2023-04-02,2020.0,,2020.0,New Mexico,TQ,T
Cable Channel,Apr 3,"Keeneland T – “multiple fractures, extensive soft tissue damage”",2023,"(10, 11)",T,"“multiple fractures, extensive soft tissue damage”",Keeneland,2023-04-03,2016.0,,2016.0,Kentucky,T,T
