name,date,notes,year
She's a Black Belt, Feb 18," Aqueduct R – “injured foreleg, vanned off, euthanized”",2023
Hunter's Drive, Feb 18, Fair Grounds R – “[multiple] open fractures”,2023
A Regal Cowgirl, Feb 18, Sunland R – “compound fetlock fracture”,2023
Bones and Roses, Feb 19," Oaklawn T (euth Feb 23) – “pelvic injury, soft tissue hemorrhages”",2023
Cash Rocket, Feb 19," Oaklawn R – “[multiple] fractures, flexor tendon completely ruptured”",2023
Jelly Nougat, Feb 20, Aqueduct R – “suffered an injury…euthanized on the track”,2023
Big Talker, Feb 20," Santa Anita R – “pulled up, collapsed, epistaxis, died spontaneously”",2023
Crafty Jack, Feb 21, Parx R – “suffered catastrophic injury…euthanized”,2023
Friendly Fella, Feb 22, Charles Town R – “pulled up with fatal injury”,2023
Big Laugh, Feb 22, Golden Gate S – “found dead early this morning” (two years old),2023
Motown Supreme, Feb 22, Turfway S – “horse found dead this morning” (two years old),2023
Teche Solution, Feb 23," Delta R – “open, comminuted fracture” (two years old)",2023
Auspicious Lad, Feb 23, Laurel T – “suddenly collapsed and died on the track” (three years old),2023
Spinish, Feb 24, Charles Town T – “condylar fracture”,2023
King Tuff, Feb 24, Fair Grounds R – “went wrong”,2023
Spy Valley, Feb 24, Sunland S – “body wall hernia” (one year old),2023
Cinnamack, Feb 25, Freehold R – “limb attached only by the skin and tendons”,2023
Black Sambuca, Feb 25, Turf T – “fractured cannon” (three years old),2023
Amman, Feb 26," Aqueduct R – “sustained injury to RF, euthanized”",2023
Iron Soul, Feb 26, Rillito R – “fell: fractured spine/pelvis”,2023
Juana Gallo, Feb 26," Turf R – “[multiple] fractures: cannon, sesamoids, P1, P2”",2023
Rap Star, Feb 27," Mahoning R – “suffered catastrophic injury, euthanized”",2023
Sporty Sense (sic), Feb 28," Oaklawn T – “[multiple] complete, comminuted fractures”",2023
Mucho, Mar, Oaklawn S – “colic” (last raced Feb 25),2023
Afternoon Anejo, Mar 1, Fair Grounds R – “LF fracture”,2023
Mystical Image, Mar 1, Turf R – “fell: comminuted scapular fracture involving neck”,2023
Starzan, Mar 1," Turf R – “fell over [above], landing on back: [multiple] vertebral fractures”",2023
Miss Taken, Mar 2, Middleburg S – “severe infection in lungs” (two years old),2023
Bear Claw, Mar 2," Sunland T – “cardiac event, [sudden death]” (three years old)",2023
Ultimate Diva, Mar 3, Golden Gate R – “injured during the gallop out”,2023
Mp Flyingwrightbayou, Mar 3," Louisiana R – “open, comminuted fracture”",2023
All the Best, Mar 4," Mahoning T – “hit pole, fractured stifle”",2023
Turfy, Mar 4, Oaklawn T – “comminuted humerus fracture”,2023
Esser Fund, Mar 4," Turfway T – “pulled up, became ataxic, collapsed, and expired”",2023
Utterly Courageous, Mar 5," Laurel T (euth Mar 29) – “comminuted, displaced fracture; laminitis”",2023
Whenudon't Know, Mar 5, Rillito R – “fell: fractured shoulder”,2023
Heza Valentine, Mar 6," Golden Gate S – “ataxic, flipped [multiple times], went down, euthanized”",2023
Charlee's Magic, Mar 7, Mahoning S – “horse found dead in stall at 6 am” (eight years old),2023
Ransier, Mar 7, Sunland T – “[multiple] fractures”,2023
Lethal Pass, Mar 8," Louisiana R – “trauma [in gate], died” (was to be her very first race)",2023
One Dashing Gallito, Mar 8, Turf S – “gastric rupture”,2023
Funwhileitlasted, Mar 9, Belmont S – “euthanized in stall”,2023
Lady Demaree, Mar 9," Oaklawn R – “[multiple] fractures, suspensory ligament ruptured”",2023
Joy Enamorada, Mar 9," Turfway R – “[multiple] comminuted fractures, severe tissue damage”",2023
Sir Rex, Mar 10," Penn R – “went bad, fell, vanned off, euthanized”",2023
Moro Dandy, Mar 10, Sam Houston R – “[multiple] fractures”,2023
Peaceful Street, Mar 11, Oaklawn R (euth Mar 14) – “comminuted fracture”,2023
Dreamboat, Mar 11, Oaklawn R – “collapsed and died past finish line” (two years old),2023
Uncle Buff, Mar 12," Sam Houston R – “[multiple] complete, displaced fractures”",2023
Cailin Diana, Mar 13, Los Alamitos T – “epistaxis from both nostrils” (bled to death),2023
Brentford, Mar 13," Penn S – illness, [found dead]” (two years old)",2023
Miss Glorious, Mar 13, Turf T – “[multiple] fractures”,2023
Em's Winaholic, Mar 13, Turf R – “fractured shoulder”,2023
Bank On Shea, Mar 16, Belmont S – “euthanized due to illness”,2023
Shy Bella, Mar 16, Charles Town R – “fell…euthanized on the track”,2023
Tap's Lullaby, Mar 16, Fairmount T – “acute hemorrhage in lungs”,2023
Bp Certified Wagon, Mar 17," Louisiana R – “skull/spine” (two years old, very first race)",2023
Boat Over the Hill, Mar 17," Parx S – “unknown, [found dead]”",2023
Fort Defiance, Mar 17," Turfway R – “[multiple] fractures, [multiple] ruptures”",2023
Chef Menteur, Mar 18," Gulfstream R – “suffered catastrophic injury, euthanized”",2023
Lady Macho, Mar 18," Laurel R – “fell: shattered pastern, profuse arterial bleeding”",2023
De Train, Mar 18," Louisiana R – “open, severe disarticulation”",2023
Strikewhileurhot, Mar 18, Sam Houston T (euth Mar 19) – “[multiple] fractures” (two years old),2023
Beverly Vista, Mar 18, Santa Anita R – “[multiple] fractures and ruptures”,2023
Fyne N Dyne, Mar 18, Sunland R – “fractured shoulder”,2023
Texas Red Pepper, Mar 18, Turfway T – “[broke both front legs]”,2023
Akuna Matata, Mar 19," Sam Houston T – “fell, unable to stand, euthanized on track”",2023
Manuka Bobby, Mar 20, Mahoning R – “suffered catastrophic injury…euthanized”,2023
Trophy Chaser, Mar 20," Parx R – “injured leg during warm-up, vanned off, euthanized”",2023
El Rafa Q, Mar 21, Sunland R – “fractured ankle”,2023
Notario, Mar 21, Turfway T – “open fetlock with disarticulation and avulsion”,2023
Xposed Secret, Mar 23, Charles Town R (euth Mar 24) – “condylar fracture”,2023
Relenteless Grace, Mar 23, Retama T – “probable spinal fracture/dislocation” (she was just one),2023
Forth, Mar 25," Laurel R – “collapsed to the dirt, compound cannon fracture”",2023
Saltwater Gypsy, Mar 25, Oaklawn R – “collapsed and died just past the finish” (two years old),2023
Stand Up Comic, Mar 25," Parx T – “illness, died” (three years old)",2023
Vezpa, Mar 25," Turfway R – “fetlock open and disarticulated, ruptured ligaments, torn tendons”",2023
Amongst Friends, Mar 26, Oaklawn T – “collapsed and died at six pole” (four years old),2023
Cumulus, Mar 26," Parx S – “illness, euthanized” (two years old)",2023
Older Brother, Mar 26, Turf R – “[multiple] fractures”,2023
Cut the Check, Mar 28, Belmont S – “euthanized for lung disease” (three years old),2023
Hexotique, Mar 28, Belmont S – “euthanized due to fracture” (not yet raced),2023
Baytown Apollo, Mar 29, Keeneland T – “horse went down – severely comminuted scapula”,2023
Nicos Clave 7, Mar 29, Turf R – “severed spine” (two years old),2023
Zinny Mach N, Mar 31," Meadows S – “illness, [found dead]”",2023
Wudda U Think Now, Apr," Belmont S – “colic, founder”",2023
Hair of the Dog, Apr 1, Charles Town R – “fatal injury…euthanized on track”,2023
Haveulostyourmind, Apr 1," Turf T – “hemorrhage, sudden death”",2023
Bee Bop It, Apr 2, Charles Town T – “shoulder fracture” (being prepped for debut),2023
Meetmeinkingston, Apr 2, Gulfstream R – “under distress…euthanized”,2023
Hello Jamrock, Apr 2," Laurel R (euth Apr 11) – “hit hind end in gate, developed laminitis”",2023
Autism Ability, Apr 2," Los Alamitos R – “fell in turn, bleeding from nose, died immediately”",2023
Frenchboro, Apr 2," Parx S – “unknown, [found dead]”",2023
W F Iron Maiden, Apr 2, Sunland R – “fractured ankle”,2023
Cable Channel, Apr 3," Keeneland T – “multiple fractures, extensive soft tissue damage”",2023
Corky's Cause, Apr 3," Parx R – “injured, vanned off, euthanized”",2023
Crb Bella, Apr 3," Sam Houston T – “slab fracture” (two years old, being prepped for debut)",2023
Hesa Charmer, Apr 3, Tioga T – “expired while training”,2023
Another Wine, Apr 3, Turf T – “[multiple] fractures” (three years old),2023
Waites Kingdom, Apr 5, Mahoning R – “took a bad step…was euthanized”,2023
Friend, Apr 5, Mahoning R – “horse fractured RF during race”,2023
Midnight Vow, Apr 5," Santa Anita S – “appeared fine at 7 pm, found dead at 3:35 am” (three years old)",2023
Fancy Liquor, Apr 7," Keeneland R (euth days later) – “injured, surgery, euthanized”",2023
Maajaackkobe, Apr 7, Yonkers R – “broke his leg during the 5th race”,2023
Practical Julia, Apr 8," Aqueduct R – “injured, vanned off, [euthanized]”",2023
Montana'sbigsunset, Apr 8, Finger Lakes T – “sudden death” (four years old),2023
Lexcellent, Apr 8, Golden Gate S – “cardiac arrest post-surgery” (two years old),2023
Levity, Apr 8, Keeneland T – “pulled up 5/5 lame: comminuted fracture”,2023
We Call Him Clyde, Apr 8," Laurel T – “comminuted pastern fracture, severe bleeding ulcer”",2023
Notion Street, Apr 8, Laurel T – “multiple fractures”,2023
Gaslight, Apr 10, Belmont S – “euthanized due to cellulitis” (four years old),2023
Will Take Control, Apr 10," Parx S – “injured, died” (raced five days prior)",2023
Explain, Apr 11, Parx T – “sudden death” (five years old),2023
Blue Paynt, Apr 12," Belmont T – “fracture, transported to barn, euthanized”",2023
Thousand Island, Apr 12, Belmont S – “euthanized after examination” (unraced),2023
Bali's Back, Apr 13, Fairmount S – “hemorrhagic gastro-colonopathy with melena”,2023
Goin to the Show, Apr 13," Keeneland R – “[multiple] fractures, severe soft tissue damage”",2023
Semi Charmed Life, Apr 14," Evangeline R – “[multiple] fractures, suspensory rupture”",2023
Twinkling Irish, Apr 14," Oaklawn R (euth Apr 28) – “open, comminuted fracture [reinjured]”",2023
Kiss Me D Oro, Apr 15," Lone Star R – “[multiple] fractures, euthanized on track”",2023
Jlc Hey Good Lookin, Apr 15," Retama T – “slab fracture” (two years old, being prepped for debut)",2023
Singing the Oldies, Apr 16, Gulfstream R – “fell…euthanized”,2023
Major Attraction, Apr 17," Turf S – “arthritis” (seven years old, last raced Feb 26)",2023
Jammin Jimtown, Apr 18, Charles Town T – “condylar fracture”,2023
Witty Banter, Apr 18, Laurel T – “rider heard loud pop: multiple fractures”,2023
Master of the Ring, Apr 19, Keeneland R – “fell: [multiple] comminuted fractures and tears”,2023
Rileys Dude, Apr 19," Penn R – “went bad, vanned off, euthanized”",2023
Golden Pegasus, Apr 20," Laurel R – “multiple fractures, tremendous soft tissue damage”",2023
Bigmancan, Apr 20," Laurel R – “comminuted, displaced fracture”",2023
Mia Testarossa, Apr 20, Thistledown T – “horse broke leg during morning gallop”,2023
Shower Time, Apr 21," Penn S – “unknown, euthanized”",2023
Strong Silent, Apr 22, Gulfstream R – “tried to jump fallen foe…euthanized”,2023
Lionessofbrittany, Apr 22, Gulfstream R – “fell…euthanized”,2023
Wolfe County, Apr 26," Keeneland R – “[multiple] fractures, [multiple] ruptures”",2023
Unkoalafied, Apr 26, Parx T – “sudden death” (four years old),2023
Wild On Ice, Apr 27," Churchill T – “injured, [euthanized]”",2023
Edge of Night, Apr 27, Thistledown R (euth several days later) – “serious limb injury”,2023
Perceived, Apr 28," Aqueduct R – “injured after finish, euthanized on track”",2023
Code of Kings, Apr 29," Churchill R – “flipped multiple times, broke neck”",2023
Parents Pride, Apr 29," Churchill R – “horse pulled up, went down, became agonal, died” (four years old)",2023
Mister Tsunami, Apr 29, Delta R – “acute open fracture” (two years old),2023
Pretty Gita, Apr 29, Fairmount R – “fetlock fracture”,2023
Speed Alert, Apr 29," Foxfield R – “[multiple] fractures, [multiple] ruptures”",2023
Crazy Dreams, Apr 29," Golden Gate R – “[multiple] fractures, [multiple] ruptures”",2023
American Boy N, Apr 29, Monticello S – “discovered with comminuted fracture in stall”,2023
First Empress, Apr 29, Oaklawn R – “collapsed at 3/16 pole – open cannon fracture”,2023
Flash of Mischief, Apr 30, Lone Star R – “[multiple] fractures”,2023
Mamzooj, Apr 30, Oaklawn R – “[multiple] fractures – euthanized in ambulance”,2023
Take Charge Briana, May 2," Churchill R – “[multiple] fractures, fetlock open and disarticulated”",2023
Chasing Artie, May 2," Churchill R – “horse staggered, collapsed, became agonal, [died]”",2023
Kadens Courage, May 2," Parx R – “fell, catastrophic injury, euthanized”",2023
Blue Agave, May 2, Thistledown R (euth May 3) – “horse became lame cooling out – fractured ankle”,2023
Nightmare Moon, May 4, Belmont S – “pleuropneumonia” (two years old),2023
Flyin Jewel, May 4, Delta R – “severe compound fracture” (two years old),2023
Freudian Fate, May 4, Oaklawn R – “[multiple] fractures”,2023
Sunshine Linda, May 4," Penn T – “injured, euthanized”",2023
An Agent Mistake, May 4," Santa Anita S – “ruptured cecum, severe peritonitis”",2023
Big Valentina, May 6, Charles Town T – “femur fracture” (being prepped for debut),2023
Chloe's Dream, May 6, Churchill R – “went wrong: multiple fractures”,2023
Freezing Point, May 6," Churchill R – “[multiple] fractures, [multiple] tendons severely torn”",2023
Tapwood, May 6, Great Meadow R – “collapsed and died” (five years old),2023
Fire and Spice, May 7," Hawthorne T – “compound fracture, disarticulated fetlock”",2023
Mon Paradis, May 9," Mountaineer R – “[multiple] fractures, rupture”",2023
Beav's Boo, May 9, Thistledown R – “horse fractured ankle at 5/8 pole”,2023
Rocket's Castle, May 11, Charles Town R (euth May 12) – “carpus fracture”,2023
Singsong Bird, May 12," Belterra R – “fracture was open, exposing fetlock joint”",2023
Charm City Band, May 12, Charles Town T (euth May 17) – “carpus fracture”,2023
Reed Kan, May 13," Belmont R – “injured, vanned off, euthanized”",2023
Bosque Redondo, May 13," Churchill R (euth May 15) – “[multiple] fractures, multiple fragments”",2023
Magic Knight, May 13, Delta R – “open fracture”,2023
Make Sure Its Cold, May 13," Meadows T – “injured, euthanized”",2023
Rio Moon, May 14," Churchill R – “open fracture, fragments imbedded in the ligament”",2023
Gatto Marrone, May 14," Mountaineer R – “collapsed, died: pulmonary hemorrhage”",2023
Smile for Glory, May 14, Santa Anita S,2023
Major General, May 17," Churchill T – “came back lethargic and trembling, died in transit to hospital”",2023
Distractandattack, May 17," Parx R – “injured, vanned off, euthanized”",2023
Good Culture, May 17, Parx R – “suffered catastrophic injury…euthanized”,2023
Swanson Lake, May 20, Churchill R – “multiple [at least 4] fractures within fetlock joint”,2023
Havnameltdown, May 20," Pimlico R – “open, disarticulated fetlock; severe tendon damage”",2023
Magic Lemons, May 21, Belterra S – “suspected complete small colon obstruction”,2023
Carolina Mia, May 21," Golden Gate R – “injured, vanned off, euthanized”",2023
Honor Our Fallen, May 21, Santa Anita S – “post-operative evisceration” (two years old),2023
Bustin Lulu, May 23, Belmont S (was raced just three days prior),2023
Arneis, May 23, Fairmount R – “catastrophic failure of suspensory apparatus”,2023
Imagine Gold, May 23," Hawthorne T – “carpus injury, intractable pain”",2023
Enchantedly, May 23," Horseshoe R – “[multiple] fractures, suspensory failure”",2023
Delaware River, May 23, Laurel S – “multiple pastern fractures”,2023
J J's Mr. Raven, May 24, Ellis S – “severe colic with unmanageable pain” (two years old),2023
Acasha's Intuition, May 25, Charles Town R – “MCIII fracture”,2023
Impazible Donna, May 26," Belmont R (euth Jun 2) – “injured, vanned off, pneumonia”",2023
Lost in Limbo, May 26," Churchill R – “fell violently: [multiple] fractures, [multiple] ruptures”",2023
Kaon, May 26, Saratoga S – “euthanized [undisclosed reason]” (was trained May 6),2023
Troubling Moon, May 27, Belmont T – “suffered sudden cardiac death event”,2023
Kimberley Dream, May 27," Churchill R – “avulsion fracture, [multiple] ruptures, severe tearing”",2023
Cool Hot Chic, May 27," Evangeline R – “[multiple] open, displaced fractures”",2023
Coconut Beach, May 27," Monmouth T – “pulmonary hemorrhage, copious amounts of blood”",2023
Battle Station, May 28," Belmont T – “injured, euthanized”",2023
Ivory Senator, May 28," Ruidoso R – “vanned off, euthanized”",2023
Mach West, May 28, Tioga R – “collapsed and deemed expired”,2023
Blingonmercury, May 29, Lone Star S – “left hock septic arthritis with colitis of five-day duration”,2023
Lady Kvn, May 30," Horseshoe R – “vertebral fracture, spinal cord tear” (first ever race)",2023
Chaysenbryn, Jun 1, Belmont R – “suffered an injury…euthanized on track”,2023
One Night Mike, Jun 2, Charles Town T – “pastern fracture”,2023
Eye Poppin Trip, Jun 2," Hoosier S – “necrotizing enteritis, rupture”",2023
Bds Got a Rogue One, Jun 3, Wyoming R – “fractured cannon past wire”,2023
Pirate Bird, Jun 4, Hawthorne R (euth Jun 6) – “lame after racing – multiple fractures”,2023
Jamminjl, Jun 4," Monmouth R – “disarticulated fetlock, extensive hemorrhage”",2023
Lambrusco, Jun 5, Thistledown T – “horse fractured shoulder during morning gallop”,2023
Shack the Life, Jun 5, Thistledown R – “horse collapsed and died at 1/8 pole” (five years old),2023
Back Beat, Jun 6," Hawthorne S – “laminitis, coffin bone began to rotate and collapse through hoof”",2023
Trinni Summer, Jun 6, Mountaineer R – “took a bad step: fetlock fracture/luxation”,2023
Auntie Mimi, Jun 8, Santa Anita T – “musculoskeletal”,2023
Mickey Goldmill, Jun 9, Lone Star T – “[multiple] fractures – muddy track”,2023
Rio King, Jun 9, Pleasanton S,2023
Excursionniste, Jun 10, Belmont R – “suffered injury…euthanized on the track”,2023
Edelstein, Jun 10, Energy R – “fractured cannon right before wire”,2023
Toss of Fate, Jun 10, Horseshoe R – “compound fracture”,2023
Gold Vermilion, Jun 10," Lone Star R – “[multiple] fractures, ligament rupture”",2023
Ami's Curlin, Jun 10," Saratoga S – “laminitis, all four feet” (two years old)",2023
Mashnee Girl, Jun 11, Belmont R – “fell…euthanized on the track”,2023
Ulele's Spirit, Jun 11," Churchill T – “pulled up with severe lameness, found dead [later] – pelvis fractures”",2023
No More Margs, Jun 12, Thistledown S – “severed tendon”,2023
Fort Peck, Jun 13, Fairmount T – “metacarpal fracture”,2023
Raindance, Jun 15," Belterra S – “horse found in stall with labored breathing, then collapsed and died”",2023
Oxwood, Jun 15, Belterra R – “disarticulated fetlock with 90-degree lateral deviation”,2023
Sailor Again, Jun 15," Parx S – “unknown, [found dead]” (raced eight days prior)",2023
Great Baroness, Jun 15," Penn R – “went bad, vanned off, euthanized”",2023
Squirrelly Shirley, Jun 16," Sam Houston S – “found dead in stall” (five years old, last raced May 25)",2023
Gagliano, Jun 17, Belmont T (euth Jun 23) – “suffered injury Jun 17; refractured Jun 23”,2023
Outkast Blue Chip, Jun 17," Buffalo R – “stopped, collapsed, [and died]”",2023
Brody, Jun 17, Los Alamitos S – “accident” (two years old),2023
Bikini Baby, Jun 17," Monmouth R (euth Jun 18) – “[multiple] fractures, [multiple] ruptures”",2023
Pappies Sue, Jun 17," Wyoming R – “fractured shoulder” (two years old, first race)",2023
Die Antwoord, Jun 17," Wyoming R – “broke back” (two years old, first race)",2023
Rip Stone, Jun 17," Wyoming R – “fractured shoulder” (two years old, second race)",2023
Ambassador Mike, Jun 18, Hawthorne R – “fetlock fracture”,2023
Star Rider, Jun 18, Mountaineer R – “skull fracture”,2023
Majestic Seas, Jun 18, Mountaineer R – “fetlock fracture/luxation”,2023
Danjer, Jun 18, Ruidoso S – “aneurysm” (was last raced Jun 3),2023
Valiancer, Jun 18, Santa Anita S (three years old),2023
Tizhelnow, Jun 19, Belterra T – “suspected fractured humerus”,2023
Respect the Code, Jun 19, Kentucky S,2023
Stencil, Jun 21, Belmont S – “laminitis both hind feet” (was last raced Jun 5),2023
No Ill Will, Jun 22, Horseshoe R – “condylar fracture”,2023
Fly Wicked Eagle, Jun 22, Sacramento S (three years old),2023
Im a Modest Man, Jun 24," Ellis R – “comminuted fracture, [multiple] torn ligaments/tendons”",2023
Just a Notion, Jun 24," Horseshoe T – “[multiple] fractures, [one] open”",2023
Aztar, Jun 24, Louisiana R – “LF fracture”,2023
yet-to-be-named 3-year-old, Jun 25, Belmont T – “injured breezing…euthanized”,2023
American Cactus, Jun 25, Hoosier S – “acute neurologic”,2023
Fire Stel, Jun 25," Los Alamitos R – “fell, vanned off, euthanized”",2023
Bailey Coffee, Jun 25," Mountaineer R – “hit rail, ruptured ligament”",2023
Red Bird, Jun 27, Fairmount R – “fell: pelvis fracture”,2023
Runlikejackieo, Jun 27, Thistledown R – “horse fractured ankle at 3/8 pole”,2023
Last Inning, Jun 28, Pleasanton S (had been trained three days prior),2023
My Patate, Jun 28, Santa Anita S,2023
K D Bubba, Jun 29," Lone Star T – “breakdown: fracture through physis, euthanized on track”",2023
Pronto Charli, Jun 30, Belterra R – “[multiple] fractures”,2023
Psycho Dar, Jul 1, Pleasanton R – “took a bad step”,2023
Animae, Jul 1," Santa Anita T (two years old, being prepped for debut)",2023
Mikibytheseaside, Jul 1, Saratoga Harness R – “collision at 3/4 pole”,2023
Black Dot Dan, Jul 1," Wyoming R – “fractured shoulder” (two years old, second race)",2023
La Socia Reyna, Jul 2, Gillespie R – “hit rail: compound fracture with multiple lacerations” (two years old),2023
Twentyseventrouts, Jul 2," Los Alamitos R – “fell, vanned off, euthanized”",2023
Bingo's Girl, Jul 2, Monmouth R (euth Jul 8) – “fell over fallen rival”,2023
Classic Coyne, Jul 2, Santa Anita T,2023
Cold Hard Cash, Jul 3, Belmont R – “collapsed – fatal cardiac event”,2023
Buttoned Up, Jul 6," Charles Town R – “suffered fatal injury, euthanized on track”",2023
Seize the City, Jul 7, Belmont R – “suffered injury to left foreleg…euthanized”,2023
Irondale, Jul 7, Los Alamitos S (was last raced Jun 24),2023
A Flashin Cartel, Jul 8," Wyoming R – “fractured shoulder” (two years old, second race)",2023
Tw Triffle Volcom, Jul 8, Wyoming R – “head injury in gate”,2023
Pave My Way, Jul 11," Finger Lakes R – “appeared in distress, vanned off, euthanized”",2023
Classic Landing, Jul 14, Meadowlands R,2023
Coronas Make Me Wild, Jul 15, Gillespie R – “broke down”,2023
Frigid Lady, Jul 15, Saratoga T – “broke RF leg”,2023
